            atom_x             atom_y             atom_z           atom_Num 
      0.0000000000      -0.0185816770       0.0000000000       6.0000000000 
     -1.5109702072      -1.0978647380       0.0000000000       1.0000000000 
      1.5109702072      -1.0978647380       0.0000000000       1.0000000000 

          center_x           center_y           center_z                 amplitude                     decay
      0.0000000000      -0.0185816770       0.0000000000              4.3460113733              1.4561260895 
      0.0000000000      -0.0185816770       0.0000000000             -0.1127430429             17.5892334291 
      0.0000000000      -0.0185816770       0.0000000000              2.5080611794              0.4558509111 
     -1.5109702072      -1.0978647380       0.0000000000              0.0304726762              7.5979920898 
     -1.5109702072      -1.0978647380       0.0000000000             -1.0162840810              0.6812578838 
     -1.5109702072      -1.0978647380       0.0000000000              1.6151393843              0.6812578518 
      1.5109702072      -1.0978647380       0.0000000000              0.0304726762              7.5979920898 
      1.5109702072      -1.0978647380       0.0000000000             -1.0162840810              0.6812578838 
      1.5109702072      -1.0978647380       0.0000000000              1.6151393843              0.6812578518 
